,Date/Time,Lat,Lon,Base
184,9/1/2014 12:11:00,40.7703,-73.9601,B02512
185,9/1/2014 12:13:00,40.7315,-73.9924,B02512
186,9/1/2014 12:13:00,40.7187,-73.9987,B02512
187,9/1/2014 12:13:00,40.7586,-73.9869,B02512
188,9/1/2014 12:14:00,40.7543,-73.9741,B02512
189,9/1/2014 12:15:00,40.7253,-73.9872,B02512
190,9/1/2014 12:17:00,40.7385,-73.9806,B02512
191,9/1/2014 12:18:00,40.7516,-73.977,B02512
192,9/1/2014 12:18:00,40.7685,-73.9823,B02512
193,9/1/2014 12:19:00,40.7643,-73.9778,B02512
194,9/1/2014 12:22:00,40.7753,-73.9634,B02512
195,9/1/2014 12:23:00,40.7753,-73.9635,B02512
196,9/1/2014 12:23:00,40.7115,-74.0402,B02512
197,9/1/2014 12:25:00,40.7356,-73.9896,B02512
198,9/1/2014 12:26:00,40.7636,-73.9715,B02512
199,9/1/2014 12:28:00,40.7623,-73.9825,B02512
200,9/1/2014 12:28:00,40.7738,-73.8722,B02512
201,9/1/2014 12:29:00,40.6868,-74.1934,B02512
202,9/1/2014 12:30:00,40.7388,-73.996,B02512
203,9/1/2014 12:30:00,40.6722,-73.9434,B02512
204,9/1/2014 12:30:00,40.7214,-74.0409,B02512
205,9/1/2014 12:30:00,40.7214,-74.0409,B02512
206,9/1/2014 12:31:00,40.7146,-73.9988,B02512
207,9/1/2014 12:31:00,40.7517,-73.9937,B02512
208,9/1/2014 12:33:00,40.7397,-73.9872,B02512
209,9/1/2014 12:35:00,40.7706,-73.8653,B02512
210,9/1/2014 12:35:00,40.7276,-73.9872,B02512
211,9/1/2014 12:37:00,40.64,-73.9455,B02512
212,9/1/2014 12:39:00,40.8015,-73.969,B02512
213,9/1/2014 12:40:00,40.7202,-74.0102,B02512
214,9/1/2014 12:41:00,40.7181,-74.0151,B02512
215,9/1/2014 12:44:00,40.7705,-73.9668,B02512
216,9/1/2014 12:47:00,40.7501,-73.9878,B02512
217,9/1/2014 12:48:00,40.7259,-73.9793,B02512
218,9/1/2014 12:52:00,40.7749,-73.9885,B02512
219,9/1/2014 12:52:00,40.7108,-74.0053,B02512
220,9/1/2014 12:53:00,40.7737,-73.9815,B02512
221,9/1/2014 12:56:00,40.723,-74.0001,B02512
222,9/1/2014 12:57:00,40.7388,-74.0071,B02512
223,9/1/2014 12:58:00,40.7685,-73.8625,B02512
224,9/1/2014 13:04:00,40.7432,-74.0077,B02512
225,9/1/2014 13:05:00,40.727,-73.9856,B02512
226,9/1/2014 13:06:00,40.7636,-73.9754,B02512
227,9/1/2014 13:07:00,40.7739,-73.9608,B02512
228,9/1/2014 13:09:00,40.7999,-73.9688,B02512
229,9/1/2014 13:09:00,40.7032,-73.994,B02512
230,9/1/2014 13:11:00,40.6423,-73.7882,B02512
231,9/1/2014 13:11:00,40.7408,-74.0048,B02512
232,9/1/2014 13:14:00,40.6418,-73.7885,B02512
233,9/1/2014 13:15:00,40.7055,-74.0171,B02512
234,9/1/2014 13:18:00,40.7573,-73.9796,B02512
235,9/1/2014 13:20:00,40.7383,-73.9775,B02512
236,9/1/2014 13:23:00,40.7167,-73.9975,B02512
237,9/1/2014 13:24:00,40.7264,-74.0091,B02512
238,9/1/2014 13:25:00,40.6466,-73.7899,B02512
239,9/1/2014 13:26:00,40.8073,-73.9543,B02512
240,9/1/2014 13:27:00,40.7645,-73.9818,B02512
241,9/1/2014 13:29:00,40.7183,-73.9945,B02512
242,9/1/2014 13:31:00,40.69,-73.9899,B02512
243,9/1/2014 13:31:00,40.7706,-73.8654,B02512
244,9/1/2014 13:34:00,40.7819,-73.9794,B02512
245,9/1/2014 13:34:00,40.6918,-73.9152,B02512
246,9/1/2014 13:37:00,40.745,-73.8428,B02512
247,9/1/2014 13:38:00,40.7394,-74.0081,B02512
248,9/1/2014 13:39:00,40.7478,-73.9084,B02512
249,9/1/2014 13:40:00,40.7393,-73.9828,B02512
250,9/1/2014 13:42:00,40.6446,-73.7822,B02512
251,9/1/2014 13:43:00,40.7224,-73.9842,B02512
252,9/1/2014 13:43:00,40.7732,-73.9462,B02512
253,9/1/2014 13:47:00,40.7254,-74.0011,B02512
254,9/1/2014 13:52:00,40.7324,-73.9819,B02512
255,9/1/2014 13:52:00,40.7453,-73.842,B02512
256,9/1/2014 13:53:00,40.7629,-73.9686,B02512
257,9/1/2014 13:53:00,40.7499,-73.9933,B02512
258,9/1/2014 13:54:00,40.7593,-73.9958,B02512
259,9/1/2014 13:55:00,40.7329,-74.0021,B02512
260,9/1/2014 13:56:00,40.7251,-73.9781,B02512
261,9/1/2014 13:57:00,40.7388,-73.9855,B02512
